"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"26","All Transitions","13110_51",0.1215258,"North-Central Interior Dry Oak Forest and Woodland",1618,0.560784,3124,0,379.6465992
"27","All Transitions","13130_47_50_51",0.1424086,"North-Central Interior Beech-Maple Forest",1619,0.172549,161813,1.6,23043.5627918
"28","All Transitions","13441_51",0.1932342,"Boreal Jack Pine-Black Spruce Forest - Pine Barrens",1620,0.54902,311502,3.1,60192.8397684
"29","All Transitions","13442_51",0.009817,"Boreal Jack Pine-Black Spruce Forest - Spruce-Fir",1621,0.447059,8202,0.1,80.519034
"30","All Transitions","13620_51_63_64_65_66",0.0272662,"Laurentian-Acadian Northern Pine(-Oak) Forest",1622,0.74902,1449363,14.3,39518.6214306
"31","All Transitions","13651_51",0.0836148,"Boreal White Spruce-Fir-Hardwood Forest - Inland",1623,0.447059,332238,3.3,27780.0139224
"32","All Transitions","13652_51",0.0173768,"Boreal White Spruce-Fir-Hardwood Forest - Coastal",1624,0.27451,202453,2,3517.9852904
"33","All Transitions","13660_51_63_64_65_66",0.007392,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest",1625,0.388235,826253,8.2,6107.662176
"34","All Transitions","14071_41_50_51",0.228269,"Laurentian Pine-Oak Barrens",1628,0,888773,8.8,202879.323937
"35","All Transitions","14072_41_50_51",0.1202254,"Laurentian Pine-Oak Barrens - Jack Pine",1629,0.392157,100312,1,12060.0503248
"36","All Transitions","14110_49_51_52",0.058898,"Great Lakes Wet-Mesic Lakeplain Prairie",1630,0,18406,0.2,1084.076588
"37","All Transitions","14440_41_50_51",0.1281268,"Eastern Boreal Floodplain",1633,0.611765,28287,0.3,3624.3227916
"38","All Transitions","14660_50_51",0.0077348,"Great Lakes Wooded Dune and Swale",1634,0,9045,0.1,69.961266
"39","All Transitions","14710_51_62",0.2292252,"Central Interior and Appalachian Floodplain Systems",1635,0.690196,85860,0.8,19681.275672
"40","All Transitions","14750_41_50_51_63_64_65_66",0.2307958,"Laurentian-Acadian Floodplain Systems",1636,0.960784,155060,1.5,35787.196748
