"","BPS_ID","EVT_ID","freq","acres","GROUPVEG","bps_acres","EVT_PHYS","evt_acres"
"1062",1635,7466,523,116,"BPS  Riparian",85860,"EVT  Riparian",8303
"1063",1635,7481,88378,19655,"BPS  Riparian",85860,"EVT  Riparian",1324313
"1064",1635,7518,307,68,"BPS  Riparian",85860,"EVT  Riparian",673
"1065",1635,7905,2042,454,"BPS  Riparian",85860,"EVT  Developed",90692
"1066",1635,7906,490,109,"BPS  Riparian",85860,"EVT  Developed",57168
"1067",1635,7907,507,113,"BPS  Riparian",85860,"EVT  Developed",34311
"1068",1635,7908,1405,312,"BPS  Riparian",85860,"EVT  Developed",91154
"1069",1635,7909,527,117,"BPS  Riparian",85860,"EVT  Developed",31250
"1070",1635,7925,916,204,"BPS  Riparian",85860,"EVT  Developed",17852
"1071",1635,7926,453,101,"BPS  Riparian",85860,"EVT  Developed",16062
"1072",1635,7927,1074,239,"BPS  Riparian",85860,"EVT  Developed",9282
"1073",1635,7928,23,5,"BPS  Riparian",85860,"EVT  Developed",646
"1074",1635,7929,433,96,"BPS  Riparian",85860,"EVT  Developed",9711
"1075",1635,7970,74,16,"BPS  Riparian",85860,"EVT  Agricultural",114076
"1076",1635,7972,3,1,"BPS  Riparian",85860,"EVT  Agricultural",602
"1077",1635,7973,260,58,"BPS  Riparian",85860,"EVT  Agricultural",56434
"1078",1635,7974,9300,2068,"BPS  Riparian",85860,"EVT  Agricultural",647975
"1079",1635,7975,942,209,"BPS  Riparian",85860,"EVT  Agricultural",330931
"1080",1635,7976,6818,1516,"BPS  Riparian",85860,"EVT  Agricultural",187903
"1081",1635,7977,1570,349,"BPS  Riparian",85860,"EVT  Agricultural",215713
"1082",1635,7978,1304,290,"BPS  Riparian",85860,"EVT  Agricultural",56033
"1083",1635,9055,164,36,"BPS  Riparian",85860,"EVT  Riparian",12735
"1084",1635,9056,5759,1281,"BPS  Riparian",85860,"EVT  Riparian",104586
"1085",1635,9057,5,1,"BPS  Riparian",85860,"EVT  Riparian",238
"1086",1635,9088,1,0,"BPS  Riparian",85860,"EVT  Conifer",135
"1087",1635,9089,104,23,"BPS  Riparian",85860,"EVT  Conifer",61687
"1088",1635,9112,2038,453,"BPS  Riparian",85860,"EVT  Conifer",539567
"1089",1635,9114,132,29,"BPS  Riparian",85860,"EVT  Riparian",1188
"1090",1635,9117,52767,11735,"BPS  Riparian",85860,"EVT  Riparian",81556
"1091",1635,9118,271,60,"BPS  Riparian",85860,"EVT  Riparian",31825
"1092",1635,9120,8446,1878,"BPS  Riparian",85860,"EVT  Riparian",45378
"1093",1635,9177,767,171,"BPS  Riparian",85860,"EVT  Riparian",2269
"1094",1635,9178,53342,11863,"BPS  Riparian",85860,"EVT  Riparian",80534
"1095",1635,9179,22515,5007,"BPS  Riparian",85860,"EVT  Riparian",8526
"1096",1635,9180,2793,621,"BPS  Riparian",85860,"EVT  Riparian",1662
"1097",1635,9183,1302,290,"BPS  Riparian",85860,"EVT  Riparian",2476
"1098",1635,9202,10380,2308,"BPS  Riparian",85860,"EVT  Riparian",6630
"1099",1635,9203,1591,354,"BPS  Riparian",85860,"EVT  Riparian",1470
"1100",1635,9312,3092,688,"BPS  Riparian",85860,"EVT  Conifer",444827
"1101",1635,9314,173,38,"BPS  Riparian",85860,"EVT  Riparian",5583
"1102",1635,9315,1402,312,"BPS  Riparian",85860,"EVT  Conifer-Hardwood",123883
"1103",1635,9317,412,92,"BPS  Riparian",85860,"EVT  Exotic Tree-Shrub",22360
"1104",1635,9318,234,52,"BPS  Riparian",85860,"EVT  Riparian",2090
"1105",1635,9601,6,1,"BPS  Riparian",85860,"EVT  Grassland",2050
"1106",1635,9617,1187,264,"BPS  Riparian",85860,"EVT  Riparian",2912
"1107",1635,9620,1969,438,"BPS  Riparian",85860,"EVT  Riparian",26536
"1108",1635,9679,24,5,"BPS  Riparian",85860,"EVT  Riparian",8
"1109",1635,9682,5,1,"BPS  Riparian",85860,"EVT  Riparian",15
"1110",1635,9683,2358,524,"BPS  Riparian",85860,"EVT  Riparian",3138
"1111",1635,9817,6332,1408,"BPS  Riparian",85860,"EVT  Exotic Herbaceous",230309
"1112",1636,7238,2907,647,"BPS  Riparian",155060,"EVT  Hardwood",649927
"1113",1636,7239,1652,367,"BPS  Riparian",155060,"EVT  Conifer-Hardwood",276742
"1114",1636,7240,442,98,"BPS  Riparian",155060,"EVT  Hardwood",33752
"1115",1636,7241,836,186,"BPS  Riparian",155060,"EVT  Conifer-Hardwood",86858
"1116",1636,7242,36,8,"BPS  Riparian",155060,"EVT  Hardwood",8282
"1117",1636,7243,12,3,"BPS  Riparian",155060,"EVT  Conifer-Hardwood",2505
"1118",1636,7290,20,4,"BPS  Riparian",155060,"EVT  Grassland",451
"1119",1636,7295,132,29,"BPS  Riparian",155060,"EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",9251
"1120",1636,7296,1529,340,"BPS  Riparian",155060,"EVT  Developed-Low Intensity",116930
"1121",1636,7297,317,70,"BPS  Riparian",155060,"EVT  Developed-Medium Intensity",46889
"1122",1636,7298,19,4,"BPS  Riparian",155060,"EVT  Developed-High Intensity",20824
"1123",1636,7299,3161,703,"BPS  Riparian",155060,"EVT  Developed-Roads",444910
